"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"White K and Davey GC","1989","10.1016/0005-7967(89)90074-0","Sensory preconditioning and UCS inflation in human 'fear' conditioning.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/2930441/","*Arousal;*Conditioning, Classical;*Fear;Adolescent;Adult;Female;Galvanic Skin Response;Humanism;Humanities;Humans;Male","no","no","no","no","CD","20",NA,NA,"ΝΑ","not reported","individual","SCR","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"ΝΑ",NA,NA,NA,NA,"quasi-correction",NA,NA,NA,"φ = SCR/SCRmax","yes","Lykken,1972","not reported","mixed","2","ANOVA","ttest","5","Alex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zhao, Shaochen and Chen, Wei and Jie, Jing and Fan, Min and Li, Junjiao and Rong, Muxin and Yang, Zifan and Zheng, Xifu","2022","10.1016/j.lmot.2022.101812","The effect of partial and continuous reinforcement on the generalization of conditioned fear in humans","Learning and Motivation","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-68845-001&site=ehost-live","Conditioned Fear;Continuous reinforcement;Fear generalization;Humanism;Humanities;Humans;Partial reinforcement;Reinforcement Schedules;Stimulus Generalization;Uncertainty","no","no","no","no","CD","66","43","21.01","2.07","yes","both","SCR, US-expectancy","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,"ΝΑ",NA,NA,NA,NA,"raw",NA,NA,NA,NA,"yes","not to reduce skewness (Lykken,1972, Chen et al., 2021)","trial-level","mixed","2","Mixed ANOVA","ttest","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zbozinek, Tomislav D. and Tanner, Alexandra S. and Craske, Michelle G.","2022","10.1177/20438087221112328","Starting fear is a stronger predictor of long-term fear than rate of change in fear in human fear conditioning","Journal of Experimental Psychopathology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-81297-001&site=ehost-live","acquisition;anxiety;Anxiety;Anxiety Disorders;Behavioral Inhibition;Conditioned Fear;extinction;Extinction (Learning);extinction rate;Fear conditioning;Humanism;Humanities;Humans;individual differences;Individual Differences;Psychopathology","no","no","no","no","CD","264","161","21.83","3.93","unclear","both","BIS/BAS, STAI-D, STAI-T","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","variance inflation factors (VIF)","no",NA,"ΝΑ",NA,NA,"t","t","sqrt / rc",NA,NA,NA,NA,"no","To normalize data (no ref)","not reported","mixed","2","Structural Equation Modeling (SEM)","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wong, Alex H. K. and Beckers, Tom","2021","10.1016/j.brat.2021.103802","Trait anxiety is associated with reduced typicality asymmetry in fear generalization","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-17281-001&site=ehost-live","Anxiety;Cognitive Generalization;Conditioned Fear;Expectations;Fear generalization;Higher-order conditioning;Personality Traits;Stimulus Generalization;Threat;Threat ambiguity;Training;Trait anxiety;Typicality asymmetry","yes","no","yes","no","CD","88","80","18.34","1.05","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no","not reported",NA,NA,NA,NA,"rc / z","sqrt",NA,NA,NA,"SCR:were square-root transformed / FPS: magnitude was obtained by subtracting the mean value during the first 20 ms after probe onset from the peak magnitude in a 21–200 ms period after probe onset. The resulting FPS data were then z-transformed within participants.","yes","SCR: Blumenthal et al., 2005","SCR: trial level","mixed","acquisition: 3 (Stimulus type, Block, interaction) / generalization: 1 (Stimulus type)","multivariate repeated measures analysis using planned orthogonal contrasts instead of an omnibus ANOVA.","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wong, Alex H. K. and Pittig, Andre","2023","10.1177/20438087231175147","Reducing avoidance of learnt fear: Extinction of an imminent threat signal partly decreases costly avoidance to a distal threat signal","Journal of Experimental Psychopathology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2023-79154-001&site=ehost-live","Anxiety;Avoidance;Conditioned Fear;Extinction;Extinction (Learning);Fear;Fear conditioning;High-order conditioning;learnt fear;Safety;safety signal;Threat;threat signal","yes","no","yes","yes","CD","53","37","24.17","4.03","not reported","individual","US expectancy; SCR, STAI-T, IUS","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no","not reported",NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,NA,"yes","SCR: Blumenthal et al., 2005","not reported","within","4 (CS type; PS type; Trial; Phase)","mixed model","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wong, Alex H. K. and Glück, Valentina M. and Boschet, Juliane M. and Engelke, Paula","2020","10.1016/j.brat.2020.103755","Generalization of extinction with a generalization stimulus is determined by learnt threat beliefs","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-89347-001&site=ehost-live","Conditioned Fear;Expectancy violation;Expectations;extinction;Extinction (Learning);Extinction generalization;Fear generalization;Generalization;Generalization (Learning);Rule-based generalization;Stimulus Generalization;Threat;Threat belief","no","no","no","no","CD","59","38","26.2","","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,NA,"yes","SCR: Blumenthal et al., 2005","not reported","mixed","3","multivariate repeated measures analysis","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wong, Alex H. K. and Pittig, Andre","2022","10.1016/j.brat.2022.104158","Threat belief determines the degree of costly safety behavior: Assessing rule-based generalization of safety behavior with a dimensional measure of avoidance","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-89318-001&site=ehost-live","Avoidance;Conditioned Fear;Extinction;Extinction (Learning);Fear conditioning;Fear generalization;Rule-based generalization;Safety;Safety behavior;Stimulus Generalization;Threat;Threat beliefs","no","no","no","yes","CD","83","55","23.16","2.75","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,NA,"yes","SCR: Blumenthal et al., 2005","not reported","mixed","9","linear mixed models","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zbozinek, Tomislav D. and Wise, Toby and Perez, Omar D. and Qi, Song and Fanselow, Michael S. and Mobbs, Dean","2021","10.1016/j.brat.2021.103986","Pavlovian occasion setting in human fear and appetitive conditioning: Effects of trait anxiety and trait depression","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-14383-001&site=ehost-live","anxiety;Anxiety;Appetite;Association Learning;Classical Conditioning;Conditioned Fear;Conditioning, Classical;Cues;depression;Depression;Depression (Emotion);Discrimination Learning;Fear;fear conditioning;Humanism;Humanities;Humans;Learning;occasion setting;Pavlovian conditioning;reward conditioning;Rewards","no","no","no","yes","CD","80 / 90 (experiment 1 / experiment 2)","44 / 50 (experiment 1 / experiment 2)","28.99 / 30.76 (experiment 1 / experiment 2)","9.19 / 10.40 (experiment 1 / experiment 2)","not reported","individual","STAI, DASS-21, PANAS, OASIS","residuals",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","VIF (https://doi.org/10.1080/01973533.2016.1277529)","no",NA,NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"Range correction by largest observed SCR","no","not reported","not reported","mixed","6","Mixed-effects model (multilevel modeling)","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woelk, Mandy and Krans, Julie and Raes, Filip and Vervliet, Bram and Hagenaars, Muriel A.","2022","10.1177/21677026211055169","Imagery rescripting versus extinction: Distinct and combined effects on expectancy and revaluation learning","Clinical Psychological Science","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-82917-002&site=ehost-live","anxiety;Anxiety;Anxiety Disorders;Conditioned Fear;Evaluation;Expectations;extinction;Extinction (Learning);fear conditioning;Imagery;Imagery (Psychotherapy);imagery rescripting;Intervention;open data;preregistered;Psychotherapeutic Techniques","yes","no","yes","yes","CD","120","79","22.08","2.75","no","both","Multiple (e.g., sex, neuroticism, imagery ability)","not reported",NA,NA,"not reported",NA,"yes","Statistically (correction applied when ε < .75 or > .75)","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,"z","z","sqrt / rc",NA,NA,NA,"EMG: z-transformation / SCR: range corrected, square root transformed","yes","EMG: Boucsein et al., 2012SCR: Blumenthal et al., 2005","not reported","within","2","Repeated measures ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zorawski M and Blanding NQ and Kuhn CM and LaBar KS","2006","10.1101/lm.189106","Effects of stress and sex on acquisition and consolidation of human fear conditioning.","Learning & memory (Cold Spring Harbor, N.Y.)","https://pubmed.ncbi.nlm.nih.gov/16847304/","*Electroshock;*Stress, Psychological;Adult;Conditioning, Psychological;Fear/*physiology;Female;Humanism;Humanities;Humans;Hydrocortisone/*blood;Male;Memory/*physiology;Reaction Time;Reproducibility of Results;Sex Characteristics;Skin/innervation","no","no","no","no","CD","56","15","23.81","5.03","yes","both","Cortisol, sex/gender","not reported",NA,"before","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no","not reported",NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"square root and range corrected","yes","SCR rc: LaBar et al. 1995","not reported","mixed","2","ANOVA (4-way mixed ANOVA)","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wong, Alex H. K. and Pittig, Andre","2022","10.1016/j.biopsycho.2021.108249","Avoiding a feared stimulus: Modelling costly avoidance of learnt fear in a sensory preconditioning paradigm","Biological Psychology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-26954-001&site=ehost-live","Anxiety;Avoidance;Avoidance Conditioning;Conditioned Fear;Conditioned Stimulus;Costly avoidance;Fear conditioning;Higher-order conditioning;Threat;Threat anticipation","no","no","no","no","CD","50","31","26.62","7.48","not reported","both","DASS-21 anxiety, IUS, valence ratings","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no","not reported",NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"Square root only (no range correction etc.)","yes","SCR: Blumenthal et al., 2005","not reported","mixed","2"," Linear mixed models","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zorawski, Michael and Cook, Craig A. and Kuhn, Cynthia M. and LaBar, Kevin S.","2005","10.3758/CABN.5.2.191","Sex, stress, and fear: Individual differences in conditioned learning","Cognitive, Affective & Behavioral Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-08821-008&site=ehost-live","Analysis of Variance;Conditioned Fear;conditioned learning;Conditioning (Psychology);Conditioning, Operant;Enzyme-Linked Immunosorbent Assay;Fear;fear conditioning;Female;Galvanic Skin Response;Human Sex Differences;Humans;Hydrocortisone;individual differences;Individual Differences;Individuality;Learning;Male;sex;Sex Characteristics;Stress;stress hormones;Stress, Physiological;Time Factors","no","no","no","no","CD","56","22","24.68","4.42","yes","individual","Sex, cortisol","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","not reported",NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"square root and range corrected",NA,"SCR: LaBar, Cook, Torpey, & Welsh-Bohmer, 2004; LaBar, Gatenby, Gore, LeDoux, & Phelps, 1998","average-level","mixed","2","ANOVA , correlation","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Young, Katherine S. and Bookheimer, Susan Y. and Nusslock, Robin and Zinbarg, Richard E. and Damme, Katherine S. F. and Chat, Iris Ka-Yi and Kelley, Nicholas J. and Vinograd, Meghan and Perez, Marcelina and Chen, Kelly and Cohen, Aileen Echiverri and Craske, Michelle G.","2021","10.1038/s41386-021-01003-8","Dysregulation of threat neurociruitry during fear extinction: The role of anhedonia","Neuropsychopharmacology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-35709-001&site=ehost-live","anhedonia;Anhedonia;Anxiety Disorders;Brain Mapping;Conditioned Fear;Conditioning, Classical;Distress;Extinction (Learning);Extinction, Psychological;Fear;fear extinction;Female;Humans;Magnetic Resonance Imaging;Major Depression;neurociruitry;threat;Threat;Young Adult","no","no","no","no","CD","272","182","19.1","0.5","yes","individual","General Distress, Fears, Anhedonia-Apprehension","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","not reported",NA,NA,NA,NA,NA,"raw",NA,NA,NA,NA,NA,"not reported","not reported","mixed","2","Mixed models (multilevel modeling)","multiple","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Weike, Almut I. and Schupp, Harald T. and Hamm, Alfons O.","2007","10.1111/j.1469-8986.2006.00469.x","Fear acquisition requires awareness in trace but not delay conditioning","Psychophysiology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-00662-019&site=ehost-live","Adult;awareness;Awareness;Blinking;Conditioned Fear;Conditioned Stimulus;Conditioning (Psychology);contingency awareness;Data Interpretation, Statistical;delay conditioning;Electromyography;Electroshock;Facial Expression;Fear;fear acquisition;Female;Galvanic Skin Response;Humans;Male;Photic Stimulation;Startle Reflex;trace conditioning","no","no","no","no","CD","64","49","22.2","0.62","not reported","individual","“aware” or “unaware” ","residuals","log transfomation (SCR), T-score normalization (Startle)","after","not reported",NA,"yes","Greenhouse–Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","For SCR: < 0.05 μS",NA,NA,NA,"t","log / rc",NA,NA,NA,"EMG: Standardized responses converted to T-scores / SCR: Â log values were range corrected by dividing each score by the participantâ€™s max response.
 
","no",NA,"not reported","mixed","3","Mixed-model ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Varma, Mohith M. and Pitliya, Riddhi J. and Zbozinek, Tomislav D. and Shechner, Tomer and Barry, Tom J.","2021","10.1007/s10608-020-10160-x","Brief training to modify the breadth of attention influences the generalisation of fear","Cognitive Therapy and Research","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-74646-001&site=ehost-live","anxiety disorders;Anxiety Disorders;attention;Cognitive Generalization;Cognitive Therapy;Conditioned Fear;fear;Fear;generalisation;Test Construction","yes","yes","yes","no","CD","39","25",NA,NA,"no","both","Anxiety, depression, stress (via DASS); self-reported fear; SCR","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"square root, range correction","no",NA,"average-level","mixed","6","Mixed ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
