,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment
"Quezada-Scholz, Vanetza E. and Laborda, Mario A. and San Martín, C. and Miguez, Gonzalo and Alfaro, Felipe and Mallea, Jorge and Díaz, Francisca",2022,10.1016/j.lmot.2022.101803,Cued fear conditioning in humans using immersive virtual reality,Learning and Motivation,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-68835-001&site=ehost-live,Humans;Fear extinction;Conditioned Fear;Extinction (Learning);Startle Reflex;Virtual Reality;IAPS;Humanism;Humanities;Human fear conditioning;Immersion;International affective picture system;Startle reflex potentiation,no,no,no,no,CD,64,26,24.41,3.59,partially,group,NA,not reported,NA,NA,not reported,NA,yes,Maulchy's W,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,not reported,yes,ref,not reported,within,8,ANOVA,rmANOVA,8,
"Pittig, Andre and Dehler, Jule",2019,10.1016/j.brat.2018.11.003,"Same fear responses, less avoidance: Rewards competing with aversive outcomes do not buffer fear acquisition, but attenuate avoidance to accelerate subsequent fear extinction",Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-66761-002&site=ehost-live,"Female;Humans;Male;Adolescent;Extinction, Psychological;Fear;Adult;Young Adult;Conditioning, Classical;Reward;fear conditioning;Conditioned Fear;Extinction (Learning);fear extinction;fear;Rewards;Avoidance;Avoidance Learning;Avoidance Conditioning;fear acquisition;Choice Behavior;avoidance conditioning;behavioral avoidance;Buffers;rewards",no,no,no,no,CD,223,162,22.08,3.69,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,yes,ref,not reported,within,2,t-test,ttest,8,
Phelps EA and Delgado MR and Nearing KI and LeDoux JE,2004,10.1016/j.neuron.2004.08.042,Extinction learning in humans: role of the amygdala and vmPFC.,Neuron,https://pubmed.ncbi.nlm.nih.gov/15363399/,"Female;Humans;Time Factors;Male;Adolescent;Adult;Amygdala;Brain Mapping;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Humanism;Humanities;Magnetic Resonance Imaging/methods;Amygdala/blood supply/*physiology;Oxygen/blood;Prefrontal Cortex/anatomy & histology/blood supply/*physiology",no,no,no,no,CD,18,6,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,yes,ref,not reported,within,2,t-test,ttest,8,
"Otto, Michael W. and Leyro, Teresa M. and Christian, Kelly and Deveney, Christen M. and Reese, Hannah and Pollack, Mark H. and Orr, Scott P.",2007,10.1177/0145445506295054,Prediction of 'fear' acquisition in healthy control participants in a de novo fear-conditioning paradigm,Behavior Modification,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-23481-003&site=ehost-live,Female;Humans;Male;Surveys and Questionnaires;Fear;Adult;Learning;Anxiety Disorders;Anxiety;Conditioned Fear;Emotional States;Depression (Emotion);Conditioning (Psychology);Avoidance Conditioning;fear conditioning paradigm;fear acquisition;anxiety patients;Health Status;healthy control participants,no,no,no,no,CD,73,36,27,NA,partially,both,multiple,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,not reported,no,NA,not reported,within,2,t-test,ttest,8,
Olsson A and Ebert JP and Banaji MR and Phelps EA,2005,10.1126/science.1113551,The role of social groups in the persistence of learned fear.,"Science (New York, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/16051800/,"Female;Humans;Galvanic Skin Response;Male;Biological Evolution;Social Behavior;Extinction, Psychological;Interpersonal Relations;Face;Fear/*psychology;Attitude;Psychological Distance;*Conditioning, Psychological;*Prejudice;Stereotyping;*Learning;Black or African American/*psychology;Culture;White People/*psychology",no,no,no,no,CD,NA,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,not reported,no,NA,not reported,within,2,t-test,ttest,8,
"Reichenberger, Jonas and Porsch, Sonja and Wittmann, Jasmin and Zimmermann, Verena and Shiban, Youssef",2017,10.3389/fpsyg.2017.01979,Social fear conditioning paradigm in virtual reality: Social vs electrical aversive conditioning,Frontiers in Psychology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-52739-001&site=ehost-live,Conditioned Fear;Aversive Stimulation;fear-potentiated startle;Avoidance;virtual reality;Virtual Reality;avoidance behavior;Social Anxiety;social fear conditioning;skin conductance level,no,no,no,no,CD,44,NA,21.52,2.37,yes,both,SPIN,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,NA,t,NA,NA,not reported,no,NA,not reported,mixed,3,ANOVA,ANOVA_multivariat,8,
Petrovic P and Kalisch R and Pessiglione M and Singer T and Dolan RJ,2008,10.1093/scan/nsn002,Learning affective values for faces is expressed in amygdala and fusiform gyrus.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/19015101/,"Humans;Male;Adolescent;Models, Neurological;Adult;Amygdala;Young Adult;Magnetic Resonance Imaging;*Emotions;Facial Expression;Galvanic Skin Response/physiology;*Social Perception;Fear/physiology;Conditioning, Classical/physiology;Association Learning/*physiology;Reference Values;Amygdala/*physiology;Temporal Lobe/*physiology;Recognition, Psychology/physiology",no,no,no,no,CD,30,0,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,not reported,yes,ref,trial level,within,2,ANOVA,rmANOVA,8,
"Pile, Victoria and Barnhofer, Thorsten and Wild, Jennifer",2015,10.1371/journal.pone.0122971,Updating versus exposure to prevent consolidation of conditioned fear,PLoS ONE,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-22179-001&site=ehost-live,"Female;Humans;Male;Surveys and Questionnaires;Adolescent;Extinction, Psychological;Fear;Stress Disorders, Post-Traumatic;Adult;Young Adult;Middle Aged;Trauma;Conditioned Fear;Posttraumatic Stress Disorder;Exposure Therapy;Intervention;Memory Consolidation;conditioned fear;Conditioning (Psychology);trauma;fear memories;exposure therapy;Implosive Therapy;consolidation;visuo-spatial tasks;Visuospatial Ability",yes,no,no,no,CD,146,87,26.72,7.84,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,not reported,yes,ref,trial level,within,2,t-test,ttest,8,
"Redondo, Jaime and Fernandez-Rey, Jose and Gonzalez-Gonzalez, Daniel",2019,10.1007/s00426-018-1017-4,Is it possible to modify fear memories in humans with extinction training within a single day?,Psychological Research,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-17911-001&site=ehost-live,"Female;Humans;Male;Extinction, Psychological;Fear;Young Adult;Conditioning, Classical;Conditioned Fear;Memory;Aversion;Extinction (Learning);Memory Consolidation;Human Information Storage;unconditioned stimulus;fear memories;Humanism;Humanities;extinction training",no,no,no,no,CD,66,55,20.22,2.18,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,subjects,End of acquisition: meanSCR(CS+) - meanSCR(CS-) >= 0.1μS; End of extinction: meanSCR(CS+) - meanSCR(CS-) < 0.1μS,NA,NA,NA,NA,log,NA,NA,NA,"each values +1, log-transformation",yes,ref,trial level,mixed,2,ANOVA,ANOVA_multivariat,8,
