,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment,
"Marinos, Julia and Simioni, Olivia and Ashbaugh, Andrea R.",2022,10.1371/journal.pone.0241943,Verbal manipulations of learning expectancy do not enhance reconsolidation,PLoS ONE,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-93513-001&site=ehost-live,Learning;skin conductance response;Conditioned Fear;Extinction (Learning);fear;Memory Consolidation;Expectations;reconsolidation;learning expectancy;memories;post-retrieval extinction;Verbal Learning;verbal stimulation,no,no,no,no,CD,99,NA,NA,NA,not reported,group,NA,dependent variable,visually,before,yes,Fmax rule 10:1,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,sqrt,sqrt,NA,NA,NA,not reported,no,not reported,not reported,mixed,2,ANOVA,ANOVA_multivariat,10,Leon,
"Ojala, Karita E. and Tzovara, Athina and Poser, Benedikt A. and Lutti, Antoine and Bach, Dominik R.",2022,10.1016/j.neuroimage.2022.119579,Asymmetric representation of aversive prediction errors in Pavlovian threat conditioning,NeuroImage,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2023-15478-001&site=ehost-live,Learning;fMRI;Cues;Threat;Aversion;Aversion Conditioning;Functional Magnetic Resonance Imaging;Prediction Errors;Reinforcement;Threat learning;Aversive prediction errors;Axiomatic conditions;Reinforcement learning;Reward Learning,yes,yes,yes,no,CD,19,14,24.7,3.7,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw,not reported,no,not reported,not reported,within,4,regression,other,10,,
"Odriozola, Paola and Kribakaran, Sahana and Cohodes, Emily M. and Zacharek, Sadie J. and McCauley, Sarah and Haberman, Jason T. and Quintela, Lauren A. and Hernandez, Cristian and Spencer, Hannah and Pruessner, Luise and Caballero, Camila and Gee, Dylan G.",2024,10.1016/j.bpsgos.2023.05.007,Hippocampal involvement in safety signal learning varies with anxiety among healthy adults,Biological Psychiatry: Global Open Science,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2024-46428-022&site=ehost-live,Fear;Hippocampus;Learning;Anxiety;Fear learning;Threat;Conditioned Fear;Safety;Conditioned inhibition;Anxiety Management;Safety signal learning,no,no,no,no,CD,64,43,23.15,3.38,yes,both,Trait Anxiety,not reported,NA,not reported,not reported,NA,yes,Mauchly's Test of Sphericity,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,PsPM,no,not reported,not reported,within,4,ANOVA,rmANOVA,10,,
"Meir Drexler, Shira and Merz, Christian J. and Lissek, Silke and Tegenthoff, Martin and Wolf, Oliver T.",2019,10.3389/fnbeh.2019.00254,Reactivation of the unconditioned stimulus inhibits the return of fear independent of cortisol,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-73024-001&site=ehost-live,Emotional Responses;Hydrocortisone;Fear;extinction;fear conditioning;Conditioned Fear;Extinction (Learning);Conditioned Stimulus;reinstatement;Unconditioned Stimulus;Training;reconsolidation;glucocorticoids;retrieval,no,no,no,no,CD,75,0,25.43,4.54,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,yes,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,"natural logarithm, ln(1+ µS)",no,not reported,not reported,mixed,2,ANOVA,rmANOVA,10,,
"Mertens, Gaëtan and De Houwer, Jan",2017,10.5127/jep.060616,Can threat information bias fear learning? Some tentative results and methodological considerations,Journal of Experimental Psychopathology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2018-26642-005&site=ehost-live,Learning;Threat;fear learning;Bias (Epidemiology);threat information;Verbal Ability;verbal information,no,no,no,no,CD,77,58,NA,NA,not reported,both,Trait Anxiety,not reported,NA,NA,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,sqrt,NA,NA,NA,SCR: range corrected + sqrt,SCR: yes; EMG startle: no,"SCR: ref, EMG startle: no",not reported,mixed,2,ANOVA,rmANOVA,10,,
Miller MW and Curtin JJ and Patrick CJ,1999,10.1016/s0301-0511(99)00011-3,A startle-probe methodology for investigating the effects of active avoidance on negative emotional reactivity.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/10461807/,"Emotions;Female;Humans;Male;Surveys and Questionnaires;Adolescent;Adult;Avoidance Learning/*physiology;Random Allocation;Reflex, Startle/*physiology;Heart Rate/physiology;Affect/*physiology;Electromyography/methods",no,no,no,no,CD,64,32,NA,NA,not reported,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,raw,NA,NA,z,raw,NA,NA,NA,"EMG startle. z-score transformation in which scores for CS+, CS−, and ITI probes were deviated from an individual’s mean and divided by the corresponding standard deviation.",no,not reported,not reported,mixed,2,ANOVA,ANOVA_multivariat,10,,
Morris JS and Buchel C and Dolan RJ,2001,10.1006/nimg.2000.0721,Parallel neural responses in amygdala subregions and sensory cortex during implicit fear conditioning.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/11352610/,"Female;Humans;Male;Adult;Amygdala;Brain Mapping;Facial Expression;Conditioning, Classical/*physiology;Fear/*physiology;Association Learning/physiology;Amygdala/*physiology;Pattern Recognition, Visual/physiology;*Magnetic Resonance Imaging;Auditory Cortex/physiology;Neural Pathways/physiology;Somatosensory Cortex/*physiology;Visual Cortex/physiology",no,no,no,no,CD,6,2,29.3,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,not reported,trial level,within,2,not reported,other,10,,
"Nitta, Yusuke and Takahashi, Toru and Haitani, Tomosumi and Sugimori, Eriko and Kumano, Hiroaki",2020,10.1177/0033294118811116,Avoidance behavior prevents modification of fear memory during reconsolidation,Psychological Reports,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-17745-003&site=ehost-live,extinction;fear conditioning;Conditioned Fear;Memory;Extinction (Learning);Memory Consolidation;Memory reconsolidation;Avoidance;avoidance;spontaneous recovery;Memory Training,no,no,no,no,CD,25,NA,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,yes,Mendoza's sphericity test,not reported,NA,not reported,NA,not reported,NA,yes,subjects,significant Smirmov–Grubbs test,NA,NA,NA,NA,not reported,NA,NA,NA,not reported,no,not reported,not reported,within,3,ANOVA,rmANOVA,10,Exclude because: Skin potential response (SPR) instead of SCR!,
"Meir Drexler, Shira and Merz, Christian J. and Hamacher-Dang, Tanja C. and Wolf, Oliver T.",2016,10.1007/s00213-016-4314-x,Cortisol effects on fear memory reconsolidation in women,Psychopharmacology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-22223-001&site=ehost-live,Hydrocortisone;Fear conditioning;Return of fear;Conditioned Fear;Memory;Reinstatement;Glucocorticoids;Sex differences;Oral Contraceptives;Skin conductance response;Memory reactivation,no,no,no,no,CD,72,72,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,corrected with Greenhouse Geisser,not reported,NA,not reported,NA,not reported,NA,yes,subjects, differential SCR lower than 1.5 interquartile ranges below the lower quartile to either CS1+ or CS2+ in either the beginning (trials 1–6) or end (trials 7–13) of acquisition were excluded,NA,NA,NA,NA,log,NA,NA,NA,"natural logarithm, ln(1+ µS)",no,not reported,not reported,mixed,3,ANOVA,rmANOVA,10,age range 18-34,
