,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,"13 participants were excluded due to non-learning (age / gender unclear). I used the final n=60 that they report in the paper; transformation level: ""To standardize the data, means and standard deviations from the first day were used to calculate within-participant Z-scores."" I indicated trial-level, same for out-lier removal:""To standardize the data, means and standard deviations from the first day were used to calculate within-participant Z-scores."" - only trial makes sense  ",,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment
"Cooper, Samuel E. and Dunsmoor, Joseph E. and Koval, Kathleen A. and Pino, Emma R. and Steinman, Shari A.",2023,10.1111/psyp.14242,Test–retest reliability of human threat conditioning and generalization across a 1-to- 2- week interval,Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2023-72672-001&site=ehost-live,Humans;Galvanic Skin Response;skin conductance;Psychometrics;Threat;Conditioned Fear;associative learning;Associative Processes;Behavior Therapy;reliability;Humanism;Humanities;psychometrics;Response Generalization;Test-Retest Reliability;threat generalization,yes,yes,no,no,LD,72,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,Raw SCR scores were square root transformed,yes,"Lykken, D. T., & Venables, P. H. (1971). Direct measurement of skin conductance: A proposal for standardization.  Lonsdorf, T. B., Menz, M. M., Andreatta, M., Fullana, M. A., Golkar, A., Haaker, J., Heitland, I., Hermann, A., Kuhn, M., Kruse, O., Meir Drexler, S., Meulders, A., Nees, F., Pittig, A., Richter, J., Römer, S., Shiban, Y., Schmitz, A., Straube, B., ... Merz, C. J. (2017). Don't fear ‘fear conditioning’: Methodological considerations for the design and analysis of studies on human fear acquisition, extinction, and return of fear. Neuroscience & Biobehavioral Reviews, 77, 247–285. https://doi.org/10.1016/ j.neubiorev.2017.02.026Psychophysiology, 8, 656–672.",not reported,within,2,mixed model ,Linear mixed effects regression,12,N without exclusions: 46; I did not check the other papers on this data
"Crombie, Kevin M. and Azar, Ameera and Botsford, Chloe and Heilicher, Mickela and Moughrabi, Nicole and Gruichich, Tijana Sagorac and Schomaker, Chloe M. and Dunsmoor, Joseph E. and Cisler, Josh M.",2023,10.1016/j.mhpa.2023.100510,Aerobic exercise after extinction learning reduces return of fear and enhances memory of items encoded during extinction learning,Mental Health and Physical Activity,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2023-78330-001&site=ehost-live,PTSD;Conditioned Fear;Extinction (Learning);Posttraumatic Stress Disorder;Exposure Therapy;Memory Consolidation;Exposure therapy;Fear generalization;Recall (Learning);extinction learning;Avoidance Conditioning;aerobic exercise;Aerobic Exercise;Behavioral tagging;Episodic memory;Fear recall;memory consolidation,no,no,no,no,CD,40,40,33.3,9.87,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,rc,NA,NA,NA,normalization of SCR to individual's max SCR ,no,not reported,trial-level ,mixed,not reported,mixed model ,LMEM,12,"analyzed with LMEMs, including factors for group (dummy coded with control group as reference) × CS × context × slope interactions as well as additional covariates for age, IQ, and site, with random effects for slope, CS, and slope × CS interaction by subject. it is unclear in the paper what ""context"" refers to"
"Conway, Christopher C. and Chang, Fini and Young, Katherine S. and Craske, Michelle G.",2020,10.1521/pedi.2020.34.5.708,Threat conditioning and trait-based vulnerability to personality disorder,Journal of Personality Disorders,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-81942-008&site=ehost-live,Risk Factors;Threat;Conditioned Fear;threat conditioning;Susceptibility (Disorders);risk factors;personality disorder;Personality Disorders;trait-based vulnerability,yes,no,no,no,CD,117,88,21.1,5.84,not reported,both,"PID-5 domain scores (personality inventory for DSM-5): disinhibition, antagonism, negative affectivity, detachment, psychoticism ",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,range corrected by dividing by the participant’s largest SCR to the US and then square root transformed to normalize the distribution,yes,"Lykken, D. T., & Venables, P. H. (1971). Direct measurement of skin conductance: A proposal for standardization. Psychophysiology, 8, 656–672.",trial-level ,within,2,correlation,other,12,
"Chalkia, Anastasia and Weermeijer, Jeroen and Van Oudenhove, Lukas and Beckers, Tom",2019,10.3389/fnhum.2019.00051,Acute but not permanent effects of propranolol on fear memory expression in humans,Frontiers in Human Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-13413-001&site=ehost-live,Humans;Fear;extinction;fear conditioning;Memory;Retention;Human Information Storage;reconsolidation;Memory Disorders;Propranolol;Drug Administration Methods;Humanism;Humanities;Amnesia;post-reactivation amnesia;propranolol;state dependency,yes,no,no,yes,CD,84,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,Z > 3,NA,NA,NA,z,z,NA,NA,NA,z-scoring of all data using acquisition data (day 1),no,not reported,trial-level ,mixed,"SCR: 2, FPS: 3 ",ANOVA,rmANOVA,12,SCR N without exclusion: 51; FPS N = 60; the N provided here was the N that took part in day 1 (more participants were excluded before and after day 1
"Deng, Jiahui and Fang, Wenmei and Gong, Yimiao and Bao, Yanping and Li, Hui and Su, Sizhen and Sun, Jie and Shi, Jie and Lu, Lin and Shi, Le and Sun, Hongqiang",2021,10.1503/jpn.200053,Augmentation of fear extinction by theta-burst transcranial magnetic stimulation of the prefrontal cortex in humans,Journal of Psychiatry & Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-13877-009&site=ehost-live,"Humans;Adolescent;Extinction, Psychological;Fear;Adult;Young Adult;Conditioned Fear;Memory;Extinction (Learning);fear extinction;Theta Rhythm;Intervention;Transcranial Magnetic Stimulation;prefrontal cortex;Prefrontal Cortex;Dorsolateral Prefrontal Cortex;Healthy Volunteers;Humanism;Humanities;Drug Augmentation;theta-burst transcranial magnetic stimulation",no,no,no,no,CD,91,NA,NA,NA,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,sqrt(SCR),no,NA,trial-level ,mixed,4,ANOVA,rmANOVA,12,"N without exclusion: 70; link to supplement is broken; exclusion of DSM-axis I disorder counted as ""partially""; 2 experiments with different participants; ""We assessed the greatest base-to-peak change in SCR in a 0- to 6-second window after the onset of each conditioned stimulus onset; these values were then square-root transformed to normalize distribution."" counted as trial-level  "
"Dou, Haoran and Zou, Liye and Becker, Benjamin and Lei, Yi",2021,10.1007/s00213-020-05720-8,"Intranasal oxytocin decreases fear generalization in males, but does not modulate discrimination threshold",Psychopharmacology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-90393-001&site=ehost-live,"Female;Humans;Galvanic Skin Response;Male;Fear;Adult;Young Adult;Generalization, Psychological;Learning;Anxiety Disorders;Conditioning, Classical;Discrimination, Psychological;Conditioned Fear;Stimulus Generalization;Responses;Discrimination;Fear generalization;Oxytocin;Double-Blind Method;Discrimination (Psychology);MSH Release-Inhibiting Hormone;Administration, Intranasal;Discrimination threshold;Facial Recognition;Skin conductance responses (SCRs);Threshold Determination",no,no,no,no,CD,63,0,19.86,1.39,partially,group,NA,not reported,NA,NA,not reported,NA,yes,Mauchly test ,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,mixed,not reported,ANOVA,rmANOVA,12,"exclusion of ""neuropsychological disorders"" rated as ""partially""; no full list of factors in the rmANOVA is provided; no SCR transformation is reported - raw or ""not reported""? "
"Chen, Wei and Li, Junjiao and Xu, Liang and Zhao, Shaochen and Fan, Min and Zheng, Xifu",2021,10.3389/fnbeh.2020.598924,Destabilizing different strengths of fear memories requires different degrees of prediction error during retrieval,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-11259-001&site=ehost-live,Fear;fear conditioning;Conditioned Fear;Memory;Extinction (Learning);Memory Consolidation;Prediction Errors;Human Information Storage;Expectations;reconsolidation;Spontaneous Remission;prediction error;College Students;ambiguity;Inference;memory destabilization;Student Attitudes,no,no,no,no,CD,89,62,20.3,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,Z > 3,NA,NA,NA,t,sqrt,NA,NA,NA,"FPS: T-transformation, SCR: sqrt of raw SCR",no,NA,"FPS: trial-level, SCR: not reported",mixed,2,ANOVA,rmANOVA,12,"N without exclusion: 87; age SD ""NA"" because they state ""(mean age, 20.3 ± 2.1 years;"" without saying whether that is SD; 2 experiments"
"Chen, Frances R.",2020,10.1016/j.paid.2020.110179,Behavioral inhibition system function as the mediator in the pathway from electrodermal fear conditioning to antisocial behavior: Integrating the reinforcement sensitivity theory,Personality and Individual Differences,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-54772-001&site=ehost-live,Galvanic Skin Response;fear conditioning;Conditioned Fear;electrodermal activity;Negative Emotions;Punishment;antisocial behavior;Antisocial Behavior;Criminal Offenders;Behavioral Inhibition System;active offenders;Personality Theory;Reinforcement Sensitivity Theory,no,no,no,no,CD,133,0,NA,NA,partially,both,"antisocial behavior, BIS/BAS, Negative emotionality (PANAS-N)",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,ln(1+SCR),yes,"Boucsein, W. (2012). Electrodermal activity (2nd). New York: Springer.",not reported,mixed,2,path analysis,other,12,"N without exclusion: 119; main analysis of the paper is a path model in mplus. other analysis is not explicitely stated, I just inferred it since they use F and T values"
"Cooper, Samuel E. and Hunt, Christopher and Ross, Jack P. and Hartnell, Melissa P. and Lissek, Shmuel",2022,10.1016/j.brat.2022.104051,Heightened generalized conditioned fear and avoidance in women and underlying psychological processes,Behaviour Research and Therapy,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2022-44446-001&site=ehost-live,Fear conditioning;Motivation;Threat;Conditioned Fear;Rewards;Human Sex Differences;Avoidance;Generalization;Reward motivation;Experiential avoidance;Experiential Avoidance;Games;Gender differences,no,no,no,no,CD,324,NA,NA,NA,not reported,both,gender,not reported,NA,NA,not reported,NA,yes,not reported,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"t, raw",NA,NA,NA,NA,within-subj. T scoring,no,NA,not reported,mixed,3,ANOVA,rmANOVA,12,"N without exclusion: 170; "". t-scoring and raw data resulted in similar results; more individual differences were assessed for generalization (but not acquisition)"
